;SYS;SE1;SE2;SE3;SE4;FI;DK1;DK2;Oslo;Kr.sand;Bergen;Molde;Tr.heim;Troms›;EE;ELE;LV;LT
01-01-2013;233,01;223,54;223,54;223,54;223,54;223,54;192,56;192,72;241,42;241,42;241,42;240,23;240,23;240,23;231,58;231,58;;192,87
02-01-2013;269,3;270,61;270,61;270,61;270,61;272,33;243,52;243,52;271,61;266,86;271,61;270,61;270,61;270,61;293,7;293,7;;250,58
03-01-2013;256,89;256,07;256,07;256,07;256,07;256,36;226,36;228,91;259,89;259,24;259,89;256,16;256,16;256,16;299,34;299,34;;334,94
04-01-2013;253,87;250,17;250,17;250,17;250,17;251,87;220,26;220,26;258,18;258,08;258,18;251,38;251,38;251,38;299,61;299,61;;298,32
05-01-2013;258,16;258,73;258,73;258,73;261,8;258,73;258,04;258,99;258,83;257,47;257,47;258,73;258,73;258,73;274,41;274,41;;285,51
06-01-2013;254,88;254,99;254,99;254,99;255,69;254,99;253,81;255,95;254,99;254,43;254,43;254,99;254,99;254,99;272,06;272,06;;265,58
07-01-2013;281,94;283,37;283,37;283,37;312,32;287,96;359,33;360,55;280,88;268,23;272,88;283,37;283,37;283,37;292,46;292,46;;319,59
08-01-2013;296,42;293,33;293,33;293,33;327,95;293,33;339,46;339,46;293,33;275,99;293,33;293,33;293,33;293,33;271,96;271,96;;317,91
09-01-2013;287,94;291,65;291,65;291,65;291,65;291,65;291,65;291,65;291,69;278,91;291,69;291,65;291,65;291,65;292,84;292,84;;282,96
10-01-2013;297,48;301,21;301,21;301,21;301,21;301,21;300,95;302,13;303,74;282,62;303,74;301,21;301,21;301,21;297,24;297,24;;276,39
11-01-2013;305,65;310,55;310,55;314,4;314,4;321,1;314,4;314,4;315,5;284,08;315,5;310,55;310,55;310,55;316,48;316,48;;277,77
12-01-2013;297,13;299,89;299,89;300,09;303,02;300,79;306,01;306,01;300,21;286,52;300,21;299,89;299,89;291,22;300,79;300,79;;290,45
13-01-2013;290,44;291,09;291,09;291,65;291,65;291,52;291,65;291,65;292,18;287,09;292,18;291,09;291,09;288,05;295,41;295,41;;335,51
14-01-2013;341,62;343,7;343,7;377,84;377,84;343,46;378,63;378,67;381,16;291,88;381,16;343,7;343,7;343,7;336,4;336,4;;349,58
15-01-2013;352,78;371,95;371,95;371,95;371,95;371,95;371,95;371,95;372,8;295,59;372,8;371,95;371,95;371,95;365,36;365,36;;341,56
16-01-2013;376,38;377,93;377,93;381,69;382,2;377,93;382,2;382,2;382,33;358,81;382,33;377,93;377,93;374,73;366,97;366,97;;371,65
17-01-2013;396,62;397,57;397,57;397,57;397,57;397,57;397,57;397,57;397,57;389,44;397,57;397,57;397,57;397,57;365,04;365,1;;362,11
18-01-2013;354,21;355,21;355,21;355,21;355,21;356,07;355,21;355,21;355,32;343;355,32;355,21;355,21;351,43;342,06;342,06;;382,33
19-01-2013;299,08;298;298;298;298;299,11;287,45;287,46;301,84;301,01;301,84;298;298;294,68;299,11;299,11;;370,11
20-01-2013;286,64;286,04;286,04;286,04;286,04;286,09;272,2;273,17;289,65;288,61;289,65;286,04;286,04;286,04;296,73;296,73;;325,19
21-01-2013;307,62;309,36;309,36;309,36;309,36;309,36;277,83;289,69;312,5;299,95;312,5;309,36;309,36;308,39;306,47;318,05;;350,98
22-01-2013;350,21;347,03;347,03;363,49;363,49;346,28;356,17;356,85;365,04;362,68;365,04;347,03;347,03;347,03;338,53;344,87;;333,4
23-01-2013;404,27;400,51;400,51;427,81;427,81;399,76;427,81;427,81;426,93;394,02;426,93;400,51;400,51;399,71;396,61;420,05;;460,52
24-01-2013;413,69;408,22;408,22;432,6;432,6;405,75;432,6;432,6;430,62;428,07;430,62;408,22;408,22;406,22;399,29;401,71;;426,7
25-01-2013;376,92;377,45;377,45;377,45;377,45;377,45;377,17;377,17;376,22;371,18;376,22;377,45;377,45;375,93;373,01;402,68;;400,08
26-01-2013;277,88;278,1;278,1;278,1;278,1;278,1;267,22;267,54;278,42;278,42;278,42;278,1;278,1;278,1;276,36;352,59;;306,46
27-01-2013;268,26;268,47;268,47;268,47;268,47;268,47;231,73;235,94;271,04;271,04;271,04;268,47;268,47;268,47;271,52;276,3;;289,09
28-01-2013;281,08;279,8;279,8;279,8;279,8;291,8;268,16;268,16;282,31;282,31;282,31;279,8;279,8;279,8;284,1;293,95;;295,48
29-01-2013;275,83;274,55;274,55;274,55;274,55;279,47;233,97;235,1;278,44;278,44;278,44;275,76;275,76;275,76;278,64;311,36;;331,86
30-01-2013;264,4;262,59;262,59;262,59;262,59;265,85;211,35;211,62;267,48;267,48;267,48;264,04;264,04;264,04;265,13;317,01;;324,46
31-01-2013;267,45;262,94;262,94;262,94;262,94;264,24;206,81;207,43;269,74;269,74;269,74;265,88;265,88;265,88;264,07;306,83;;297,87
01-02-2013;286,84;286,32;286,32;286,32;286,32;286,32;275,34;275,34;288,35;288,35;288,35;286,32;286,32;286,32;277,28;300,64;;331,72
02-02-2013;271,44;270,18;270,18;270,18;270,18;270,18;269,2;269,8;273,46;273,46;273,46;270,18;270,18;270,18;269,94;302,35;;394,97
03-02-2013;267,62;266,73;266,73;266,73;266,73;266,73;244,82;255,31;270,29;270,29;270,29;266,73;266,73;266,73;282,99;298,17;;330,49
04-02-2013;274,01;272,73;272,73;272,73;272,73;272,73;231,82;243,48;276,92;276,87;276,92;274,1;274,1;274,1;271,57;314,54;;376,84
05-02-2013;275,67;272,04;272,04;272,04;272,04;272,04;229,12;233,4;279,49;279,39;279,49;275,6;275,6;275,6;271,92;325,39;;290,69
06-02-2013;292,5;291,33;291,33;291,33;291,98;291,33;290,63;291,29;294,88;294,88;294,88;291,33;291,33;291,33;290,26;329,74;;327,19
07-02-2013;305,21;303,75;303,75;303,75;304,1;303,75;304,1;304,1;305,91;305,91;305,91;303,91;303,91;303,91;299,38;320,84;;337,83
08-02-2013;296;295,52;295,52;295,52;295,52;295,52;295,52;295,52;296,65;296,65;296,65;295,52;295,52;295,52;285,77;303,14;;330,22
09-02-2013;286,35;284,07;284,07;284,07;284,85;284,07;284,84;284,85;288,47;288,47;288,47;284,07;284,07;284,07;284,07;284,18;;319,82
10-02-2013;279,51;277,76;277,76;277,76;277,76;277,76;277,76;277,76;280,87;280,87;280,87;277,76;277,76;277,76;277,81;278,95;;296,94
11-02-2013;310,51;310,28;310,28;310,28;310,28;310,28;309,36;309,36;310,88;310,88;310,88;310,28;310,28;310,28;298,42;308,11;;327,85
12-02-2013;318,35;318,32;318,32;318,32;318,32;318,32;317,63;318,32;318,57;318,57;318,57;318,32;318,32;318,32;318,32;331,35;;324,94
13-02-2013;333,91;329,21;329,21;329,21;329,21;329,21;367,73;367,73;329,99;329,99;329,99;329,21;329,21;329,21;329,14;340,31;;333,11
14-02-2013;294,79;294,56;294,56;294,56;294,56;294,56;294,56;294,56;295,26;295,26;295,26;294,56;294,56;294,56;319,36;324,11;;334,21
15-02-2013;296,22;295,52;295,52;295,52;296,63;295,52;295,53;295,53;297,03;297,03;297,03;295,52;295,52;295,52;296,48;300,79;;320,71
16-02-2013;285,05;283,7;283,7;283,7;283,7;283,7;285,91;285,91;286,35;286,35;286,35;283,7;283,7;283,7;303,73;303,73;;325,49
17-02-2013;279,12;278,56;278,56;278,56;278,56;278,56;281,3;281,62;280,27;280,27;280,27;278,56;278,56;278,56;288,92;288,92;;325,43
18-02-2013;292,17;291,83;291,83;291,83;291,83;291,83;292,14;292,14;292,91;292,91;292,91;291,83;291,83;291,83;293,39;324,4;;309,87
19-02-2013;287,63;285,6;285,6;285,6;285,6;285,6;283,45;283,45;290,25;290,19;290,25;285,6;285,6;285,6;285,32;307,3;;322,49
20-02-2013;294,35;292,38;292,38;292,38;292,38;292,38;291,63;291,63;296,48;295,28;296,48;292,38;292,38;292,38;292,34;293,05;;262,11
21-02-2013;324,31;315,94;315,94;315,94;323,38;315,94;379,71;379,72;317,18;304;317,18;315,94;315,94;315,86;316,11;316,11;;290,94
22-02-2013;321,14;318,2;318,2;318,2;318,2;318,2;359,24;359,24;318,37;315,77;318,37;318,2;318,2;318,2;319,99;319,99;;323,47
23-02-2013;288,02;285,4;285,4;285,4;285,4;285,4;276,93;276,93;293,31;293,31;293,31;285,4;285,4;285,4;298,64;298,64;;285,52
24-02-2013;281,67;279,06;279,06;279,06;279,06;279,06;250,27;250,27;288,15;288,15;288,15;281,34;281,34;280,61;307,01;307,01;;231,39
25-02-2013;298,24;296,61;296,61;296,61;296,61;296,61;290,58;300,32;301,72;301,72;301,72;296,61;296,61;296,61;296,57;296,57;;304,35
26-02-2013;302,33;300,77;300,77;300,77;308,13;300,77;311,92;345,33;303,86;303,86;303,86;300,77;300,77;300,77;299,93;299,93;;318,8
27-02-2013;307,75;304,75;304,75;304,75;312,45;304,75;317,55;360,47;306,57;306,57;306,57;304,75;304,75;304,51;311,41;311,41;;340,95
28-02-2013;299,31;297,82;297,82;297,82;298,97;297,82;284,63;336,51;301,84;301,84;301,84;297,82;297,82;297,82;294,17;294,17;;310,54
01-03-2013;302,92;298,91;298,91;298,91;298,91;298,91;321,25;326,19;305,06;305,06;305,06;300,63;300,63;300,63;285,82;298,15;;309,41
02-03-2013;292,96;284,84;284,84;284,84;284,84;315,74;282,29;283,99;299,34;299,34;299,34;285,75;285,75;285,34;315,52;315,52;;253,63
03-03-2013;291,78;285,54;285,54;285,54;285,54;285,54;261,89;261,89;302,19;302,19;302,19;285,99;285,99;285,99;280,48;280,48;;228,96
04-03-2013;318,5;312,79;312,79;312,79;312,79;373,45;340,43;344,08;314,85;314,85;314,85;312,79;312,79;312,79;312,86;321,49;;331,66
05-03-2013;304,47;303,03;303,03;303,03;303,03;303,17;300,87;323,67;307,27;307,27;307,27;303,03;303,03;303,03;294,92;309,39;;326,23
06-03-2013;308,85;306,15;306,15;306,15;306,21;306,15;319,96;350,27;309,65;309,65;309,65;306,15;306,15;306,15;289,78;301,51;;321,12
07-03-2013;307,66;305,2;305,2;305,2;305,2;305,2;295,28;295,42;311,47;311,47;312,05;305,52;305,52;305,44;290,77;300,73;;319,26
08-03-2013;302,42;299,39;299,39;299,39;299,39;299,39;262,89;269,5;308,83;308,83;309,41;299,39;299,39;299,39;284,2;284,2;;318,73
09-03-2013;297,1;293,22;293,22;293,22;293,22;293,38;225,22;228,77;306,08;306,08;306,08;295,61;295,61;293,22;291,91;291,91;;319,71
10-03-2013;295,22;293,82;293,82;293,82;293,82;293,82;138,29;144,54;305,31;305,31;305,31;293,97;293,97;293,82;294,28;294,28;;311,04
11-03-2013;327,57;327,66;327,66;327,66;327,66;332,32;281,92;282,31;329,3;327,91;329,3;327,66;327,66;327,66;316,56;321,35;;325,31
12-03-2013;351,26;350,39;350,39;350,39;350,39;350,73;349,37;363,65;350,81;349,49;350,81;350,39;350,39;350,39;350,73;354,98;;331,94
13-03-2013;373,3;369,22;369,22;369,22;369,22;369,57;368,13;417,21;370,88;370,88;370,88;369,22;369,22;369,22;369,57;386,64;;369,82
14-03-2013;398,54;397,94;397,94;397,94;397,94;397,95;396,77;407,46;398,42;398,42;398,42;397,94;397,94;397,94;397,95;423,33;;419,5
15-03-2013;364,87;365,52;365,52;365,52;365,52;367,93;355,44;366,97;365,56;361,62;365,56;365,52;365,52;365,52;367,93;433,58;;440,47
16-03-2013;319,77;321,24;321,24;321,24;321,24;321,24;208,89;210,39;325,77;324,98;325,77;321,24;321,24;321,24;328,17;328,17;;364,55
17-03-2013;309,11;308,39;308,39;308,39;308,39;308,39;81,2;81,2;319,79;319,4;319,79;308,39;308,39;308,39;340,56;340,56;;351,14
18-03-2013;321,38;321,33;321,33;321,33;321,33;329,48;209,51;246,12;326,51;325,39;326,51;321,33;321,33;321,33;393,79;393,79;;366,78
19-03-2013;337,66;336,47;336,47;336,47;336,47;337,31;296,65;317,44;341,03;340,44;341,03;336,47;336,47;336,47;339,04;339,21;;344,22
20-03-2013;363,97;361,85;361,85;361,85;361,85;361,85;349,21;349,21;366,85;366,85;366,85;361,85;361,85;361,85;355,83;355,83;;355,24
21-03-2013;424,14;422,7;422,7;422,7;422,7;432,05;412,45;412,45;425,12;425,12;425,12;422,7;422,7;422,7;430,3;430,3;;333,94
22-03-2013;354,84;353,62;353,62;353,62;353,62;362,91;327,92;328,75;353,95;351,72;353,95;353,62;353,62;353,62;367,63;367,63;;341,68
23-03-2013;334,98;335,25;335,25;335,25;335,25;335,25;256,1;300,58;338,53;338,16;338,53;335,25;335,25;335,25;338,36;338,36;;352,4
24-03-2013;336,09;334,88;334,88;334,88;334,88;334,88;324,78;334,88;337,03;336,5;337,88;334,88;334,88;334,88;341,93;343,15;;340,72
25-03-2013;349,77;347,57;347,57;347,57;347,57;347,57;336,86;347,57;352,18;348,69;356,76;347,57;347,57;347,57;357,7;378,93;;395,37
26-03-2013;346,01;342,99;342,99;342,99;342,99;342,99;342,99;342,99;347,03;347,03;350,48;342,99;342,99;342,99;394,34;394,34;;400,67
27-03-2013;356,14;353,76;353,76;353,76;353,76;353,76;353,76;353,76;356,76;356,76;364,58;353,76;353,76;353,76;386,33;392,12;;396,67
28-03-2013;362,14;359,63;359,63;359,63;359,63;359,63;359,47;359,63;362,6;362,45;366,96;359,63;359,63;359,63;355,09;359,5;;392,11
29-03-2013;352,32;347,3;347,3;347,3;347,3;347,3;321,09;321,09;356,01;356,01;375,24;347,52;347,52;347,3;351,91;351,91;;372,49
30-03-2013;352,26;345,3;345,3;345,3;345,3;345,3;345,3;345,3;354,85;354,85;372,25;345,3;345,3;345,3;350,34;350,34;;353,9
31-03-2013;346,7;332,5;332,5;332,5;332,5;332,5;332,5;332,5;353,47;353,47;374,9;332,5;332,5;332,5;335,06;335,06;;368,12
01-04-2013;354,28;345,88;345,88;345,88;345,88;345,88;345,88;345,88;357,2;357,2;383,72;345,88;345,88;345,88;347,12;355,23;;355,08
02-04-2013;421,21;419,7;419,7;419,7;419,7;419,7;419,7;419,7;420,99;420,99;438,66;419,7;419,7;419,7;415,83;417,48;;365,15
03-04-2013;373,01;370,61;370,61;370,61;370,61;370,61;370,61;370,61;375;374,94;400,39;385,29;385,29;349,75;389,79;391,66;;377,26
04-04-2013;375,64;373,37;373,37;373,37;373,37;373,37;373,37;373,37;378,48;378,26;401,16;413,67;413,67;347,88;393,51;393,98;;374,42
05-04-2013;391,44;394,88;394,88;394,88;394,88;394,88;394,88;394,88;402,55;402,48;419,25;511,11;511,11;342,71;378,24;378,24;;357,34
06-04-2013;368,38;363,83;363,83;363,83;363,83;363,83;363,83;363,83;372,91;371,77;380,98;402,71;402,71;337,1;378,05;378,05;;354,81
07-04-2013;361,64;342,82;342,82;342,82;342,82;342,82;325,88;325,88;373,5;373,5;382,26;346,95;346,95;342,82;346,41;346,41;;398,37
08-04-2013;435,91;430,91;430,91;430,91;430,91;430,91;430,9;430,91;438,18;438,18;438,26;430,91;430,91;430,91;430,91;430,91;;453,39
09-04-2013;398,14;395,65;395,65;395,65;395,65;395,65;392,87;395,65;399,15;399,15;399,15;395,65;395,65;395,65;421,15;421,15;;435,41
10-04-2013;401,25;399,42;399,42;399,42;399,42;399,42;373,61;381,53;403,8;403,72;403,8;399,42;399,42;399,42;422,35;422,35;;450,52
11-04-2013;406,63;402,24;402,24;402,24;402,24;402,24;400,43;402,24;409,09;409,09;409,09;402,24;402,24;402,24;416,44;469,68;;447,7
12-04-2013;400,17;394,34;394,34;394,34;394,34;394,34;394,34;394,34;403,61;403,61;403,61;394,34;394,34;394,34;411,19;491,58;;530,67
13-04-2013;384,25;374,52;374,52;374,52;374,52;374,52;374,52;374,52;389,32;389,32;389,32;374,52;374,52;374,52;371,92;371,92;;382,84
14-04-2013;352,47;333,86;333,86;333,86;333,86;333,86;264,91;333,86;382;382;382,05;342,08;342,08;336,52;338,64;338,64;;359,89
15-04-2013;374,24;347,68;347,68;347,68;347,68;347,68;325,49;328,71;396,09;396,09;396,09;370,36;370,36;370,36;346,33;346,33;;340,09
16-04-2013;377,97;372,98;372,98;372,98;372,98;372,98;366,37;372,98;383,16;383,16;383,16;416,23;416,23;361,09;372,98;372,99;;341,42
17-04-2013;340,73;325,97;325,97;325,97;325,97;325,97;320,33;325,97;356,85;356,85;356,85;355,44;355,44;332,49;325,36;360,04;;347,03
18-04-2013;295,14;276,71;276,71;276,71;276,71;278,22;203,36;251,19;316,66;316,66;317,93;303,39;303,39;301,37;275,13;288,67;;288,67
19-04-2013;279,71;239,49;239,49;239,49;239,49;239,49;230,69;233,59;308,39;308,39;309,33;281,27;281,27;281,27;227,31;227,31;;251,17
20-04-2013;293,92;277,18;277,18;277,18;277,18;277,18;271,3;277,18;314,74;314,74;314,74;285,43;285,43;285,43;251,91;251,91;;249,54
21-04-2013;292,16;275,72;275,72;275,72;275,72;275,72;275,72;275,72;319,16;319,16;319,16;283,07;283,07;283,07;246,83;246,83;;243,09
22-04-2013;319,11;297,3;297,3;297,3;323,14;297,3;324,15;324,15;332,65;332,65;332,65;302,83;302,83;302,83;275,91;275,91;;288,17
23-04-2013;285;228,89;228,89;228,89;228,89;228,89;225,61;225,61;329,71;329,71;329,71;282,32;282,32;282,32;225,06;225,06;;185,3
24-04-2013;306,26;272,14;272,14;272,14;272,62;272,14;273,06;273,06;333,83;333,83;333,83;285,13;285,13;285,13;245,44;245,44;;364,03
25-04-2013;312,97;279,84;279,84;279,84;279,84;279,84;281,07;281,07;333,4;333,4;333,4;297,42;297,42;297,42;255,38;255,38;;223,89
26-04-2013;307,85;299,11;299,11;299,11;299,11;299,11;277,88;277,88;321,81;321,81;325,57;304,6;304,6;304,6;260,44;260,44;;263,13
27-04-2013;288,94;270;270;270;270;270;270;270;304,12;304,12;304,12;278,27;278,27;278,27;243,76;243,76;;255,55
28-04-2013;273,14;250,36;250,36;250,36;250,36;250,36;250,4;250,36;295,46;295,46;295,46;274,62;274,62;274,62;232,9;232,9;;310,22
29-04-2013;295,53;279,86;279,86;279,86;279,86;279,86;267,55;278,55;321,45;311,16;321,45;293,29;293,29;293,29;264,04;264,04;;294,02
30-04-2013;301,13;278,64;278,64;278,64;278,64;278,64;279,73;279,91;322,33;319,74;324,89;293,08;293,08;293,08;263,84;263,84;;229,45
01-05-2013;295,34;267,43;267,43;267,43;267,43;267,43;268,9;268,9;327,13;327,13;327,13;283,17;283,17;283,17;225,01;225,01;;332,71
02-05-2013;317,44;300,05;300,05;300,05;301,15;300,05;302,1;302,1;332,48;332,48;332,48;304,18;304,18;304,18;284,95;284,95;;249,4
03-05-2013;310,64;287,24;287,24;287,24;287,35;287,24;288,1;288,1;327,99;327,99;327,99;296,8;296,8;295,59;264,45;264,45;;238,75
04-05-2013;291,18;263,35;263,35;263,35;263,35;263,35;257,49;263,35;317,6;317,6;320,35;293,29;293,29;292,07;261,53;261,53;;223,45
05-05-2013;292,93;270,6;270,6;270,6;270,6;270,6;270,6;270,6;315,85;315,85;315,85;288,37;288,37;288,37;268,81;268,81;;212,08
06-05-2013;332,87;330,94;330,94;330,94;330,94;330,94;330,94;330,94;335,45;335,45;335,45;331,1;331,1;331,1;294,96;294,96;;364,05
07-05-2013;312,31;308,09;308,09;308,09;308,13;308,09;308,13;308,13;320,67;320,67;320,67;310,88;310,88;310,88;305,18;359,61;;380,4
08-05-2013;292,06;287,66;287,66;287,66;287,66;287,66;286,35;286,34;306,06;306,06;306,06;293,12;293,12;293,12;287,6;379,73;;264,9
09-05-2013;270,1;266,27;266,27;266,27;266,27;266,27;266,27;266,27;271,87;271,87;271,87;266,27;266,27;267,27;254,83;254,83;;233,01
10-05-2013;269,28;270,28;270,28;270,28;270,28;270,28;263,1;270,28;270,28;270,28;270,28;272,03;272,03;272,03;247,98;247,98;;325,47
11-05-2013;252,91;250,42;250,42;250,42;250,42;250,42;250,42;250,42;250,42;250,42;250,42;271,14;271,14;273,97;250,42;250,42;;320,03
12-05-2013;257,5;257,04;257,04;257,04;257,04;257,04;257,04;257,04;257,04;257,04;257,04;260,35;260,35;264,56;257,04;257,37;;353,38
13-05-2013;298,62;298,45;298,45;298,45;298,45;309,22;296,62;298,45;298,45;298,17;298,45;298,45;298,45;298,45;309,22;348,48;;382,68
14-05-2013;300,22;303,31;303,31;303,31;303,31;303,31;297,47;303,31;298,46;297,63;298,46;303,31;303,31;303,31;303,31;361,22;;360,41
15-05-2013;292,31;292,63;292,63;292,63;292,63;297,14;285,61;292,63;292,31;292,31;292,31;292,63;292,63;292,63;297,14;334,55;;394,36
16-05-2013;274,12;273,16;273,16;273,16;273,16;273,16;274,39;274,52;276,46;276,46;276,46;273,16;273,16;273,16;273,16;295,52;;322,55
17-05-2013;258,25;258,68;258,68;258,68;258,68;259,06;258,63;274,95;257,42;257,42;257,42;258,68;258,68;258,68;263,33;284,14;;321,17
18-05-2013;229,26;230,97;230,97;230,97;230,97;230,97;219,98;219,98;230,97;230,97;230,97;230,97;230,97;230,97;238,11;270,11;;185,25
19-05-2013;229,04;229,04;229,04;229,04;229,04;229,04;229,04;229,04;229,04;229,04;229,04;229,04;229,04;229,04;229,04;229,04;;334,07
20-05-2013;248,19;257,14;257,14;257,14;257,14;274,08;235,51;257,14;225,69;225,69;225,69;257,14;257,14;257,14;285,86;315,99;;398,87
21-05-2013;281,53;306,07;306,07;306,07;306,07;306,07;306,36;307,24;263,31;263,31;263,31;284,47;284,47;276,37;308,93;379,44;;389,91
22-05-2013;253,1;260,71;260,71;260,71;260,71;260,71;246,48;262,18;246,85;246,85;246,85;260,71;260,71;252,06;265,64;346,48;;388,15
23-05-2013;285,59;296,19;296,19;296,19;296,19;296,19;332,54;338,79;274,22;274,22;274,22;284,68;284,68;284,68;300,45;304,32;;350,39
24-05-2013;288,04;322,48;322,48;322,48;343,97;322,48;350,28;350,28;274,61;274,61;274,61;297,33;297,33;297,33;321,87;324,86;;331,64
25-05-2013;250,52;249,58;249,58;249,58;249,58;262,41;249,58;249,58;249,58;249,58;249,58;249,58;249,58;249,58;262,72;277;;331,95
26-05-2013;216,72;211,92;211,92;211,92;211,92;243,77;185,63;208,39;210,38;210,38;210,38;211,92;211,92;211,92;298,09;300,67;;331,28
27-05-2013;307,85;337,27;337,27;337,27;337,27;337,4;350,41;350,41;286,8;286,8;278,15;317,62;317,62;298,56;337,4;339,52;;342,66
28-05-2013;291,3;300,27;300,27;300,27;300,27;300,27;308,8;309,21;288,7;288,7;286,04;294,9;294,9;286,61;300,81;340,42;;366,17
29-05-2013;291,89;298,4;298,4;298,4;298,4;298,4;298,4;324;285,26;285,26;283,91;297,55;297,55;297,52;302,97;305,8;;335,97
30-05-2013;281,7;284,61;284,61;284,61;284,61;288,55;284,61;284,61;280,34;280,34;278,9;284,14;284,14;284;299,54;305,15;;327,36
31-05-2013;272,62;270,72;270,72;270,72;270,72;303,75;270,72;270,72;266,64;266,64;266,64;270,72;270,72;269,59;305,32;305,96;;317,16
01-06-2013;254,09;250,48;250,48;250,48;250,48;293,92;250,48;252,95;250,47;250,47;250,47;250,48;250,48;250,48;295,63;295,63;;203,07
