;NO1;NO2;NO3;NO4;NO5;NO
13-02-2013;151899;128072;76824;56927;59267;472849
14-02-2013;152833;124915;75988;56670;58363;468769
15-02-2013;148468;121267;74217;56005;55031;454981
16-02-2013;134181;113736;69569;53557;52313;423346
17-02-2013;129201;109596;66707;52362;52239;410102
18-02-2013;138879;114861;70475;55354;53052;432616
19-02-2013;141508;116222;72214;58409;53157;441506
20-02-2013;151676;120972;74004;59395;54375;460412
21-02-2013;162140;124979;72961;58414;55722;474210
22-02-2013;155092;123931;71736;57539;54150;462443
23-02-2013;131594;112831;66762;52837;51083;415105
24-02-2013;124075;107474;65403;50826;50001;397773
25-02-2013;139657;114526;69324;53661;52857;430022
26-02-2013;144872;118098;69630;54191;53263;440050
27-02-2013;140973;118243;67909;53050;52263;432431
28-02-2013;139456;113744;69033;53446;50426;426099
01-03-2013;129988;111954;69134;54123;51421;416611
02-03-2013;119507;105178;63913;52822;49112;390526
03-03-2013;116777;103805;61757;52933;48433;383705
04-03-2013;130510;112479;63877;57331;50698;414885
05-03-2013;134544;113080;63157;56845;52123;419739
06-03-2013;129952;108911;66361;56226;51600;413047
07-03-2013;136350;108936;69068;56181;51836;422362
08-03-2013;140363;112602;72025;57444;52015;434444
09-03-2013;135889;110325;69892;54443;51491;422026
10-03-2013;139357;111972;70502;53156;53211;428189
11-03-2013;150854;122449;73316;56730;55944;459287
12-03-2013;141164;118150;70983;57088;53849;441230
13-03-2013;145784;119537;74359;58504;54956;453137
14-03-2013;152183;122931;74937;58523;54533;463107
15-03-2013;154602;122363;73089;57557;51838;459436
16-03-2013;135365;112776;68261;54838;50659;421893
17-03-2013;128905;108396;64183;53172;50100;404749
18-03-2013;141218;117928;67616;54913;52282;433952
19-03-2013;152673;121984;72157;56276;53756;456842
20-03-2013;154934;123599;72208;56177;55519;462428
21-03-2013;148579;120814;72174;56008;53567;451137
22-03-2013;149344;120730;71496;55636;53943;451141
23-03-2013;139019;115642;69106;51976;52537;428279
24-03-2013;126819;111534;65214;49289;50751;403605
25-03-2013;129215;114863;67467;51250;52739;415533
26-03-2013;127086;113221;66598;51914;52570;411385
27-03-2013;125534;111081;65687;52906;51756;406955
28-03-2013;120866;107418;61203;51444;49533;390462
29-03-2013;118553;106375;60896;50639;49145;385604
30-03-2013;114848;104882;59923;49521;48579;377746
31-03-2013;107846;98322;58023;45991;47088;357263
01-04-2013;114155;104094;60386;49773;49381;377785
02-04-2013;120752;108804;63186;52152;49540;394426
03-04-2013;118048;107701;64619;53391;48488;392241
04-04-2013;114971;106311;67140;54211;47087;389716
05-04-2013;110759;104535;66844;52731;47647;382513
06-04-2013;107087;101759;66345;50294;45182;370659
07-04-2013;105865;98803;64624;48751;45788;363821
08-04-2013;117364;106001;67480;53530;48177;392547
09-04-2013;119168;105536;67421;52876;47826;392822
10-04-2013;119561;104827;66524;52406;48010;391323
11-04-2013;124265;107466;63830;50754;50553;396862
12-04-2013;120959;105692;62115;49283;47573;385619
13-04-2013;107868;93772;59358;45866;43717;350580
14-04-2013;109347;97773;59793;44554;44931;356392
15-04-2013;109522;95093;58782;47686;44395;355471
16-04-2013;108408;98515;59289;45513;45294;357024
17-04-2013;100524;96842;58983;45126;44131;345600
18-04-2013;103021;97562;59333;45102;44963;349973
19-04-2013;104388;98422;59780;44828;46070;353477
20-04-2013;97249;92559;59494;43559;44230;337088
21-04-2013;93396;89100;55793;43327;43200;324812
22-04-2013;101888;95967;58934;44618;48448;349849
23-04-2013;95710;93628;59764;45362;45812;340271
24-04-2013;96109;94387;61745;46751;47812;346799
25-04-2013;95688;93702;62174;47485;46937;345980
26-04-2013;94979;93082;60573;47624;46822;343076
27-04-2013;88595;88957;57791;45545;44591;325474
28-04-2013;92963;91125;56725;45985;46828;333619
29-04-2013;104463;96654;60459;48677;47848;358098
30-04-2013;95375;92313;61118;48782;47061;344642
01-05-2013;91803;94264;56099;46940;48132;337236
02-05-2013;97278;97509;62134;50539;48502;355958
03-05-2013;101871;101129;64397;50443;48996;366826
04-05-2013;95439;93748;58273;46539;46814;340807
05-05-2013;84506;89246;54856;46254;44133;318993
06-05-2013;88141;91593;56941;48705;43359;328736
07-05-2013;79934;89269;57570;47082;42736;316580
08-05-2013;80331;90027;54826;47710;41501;314393
09-05-2013;75335;85834;52520;44830;40333;298846
10-05-2013;82745;89741;55022;44550;41367;313419
11-05-2013;77114;89011;53319;41509;41669;302612
12-05-2013;78947;85565;53556;41015;40117;299193
13-05-2013;92138;94366;56194;44566;42766;330030
14-05-2013;92015;95598;57350;46376;44602;335928
15-05-2013;95687;97157;55496;46383;43938;338653
16-05-2013;86732;93077;52536;44865;41000;318207
17-05-2013;70490;81042;45863;39975;39827;277191
18-05-2013;65800;73365;45234;38911;36960;260267
19-05-2013;62136;71443;44649;39112;33941;251283
20-05-2013;66210;77039;44209;38796;37987;264236
21-05-2013;79577;85266;47913;41700;41588;296036
22-05-2013;80362;85375;53736;40171;40945;300588
23-05-2013;86751;87477;49858;40142;41678;305898
24-05-2013;81888;85383;50117;39251;41742;298378
25-05-2013;68582;78910;49256;37751;38429;272929
26-05-2013;64249;75858;48410;36771;36702;261981
27-05-2013;75812;81704;47525;40973;39524;285526
28-05-2013;79298;83562;46742;40009;38870;288475
29-05-2013;77125;82657;45844;38350;38195;282167
30-05-2013;78267;81680;47339;34532;37039;278853
31-05-2013;73137;80914;46918;32986;37020;270971
01-06-2013;65895;75967;44528;30806;37874;255069
02-06-2013;63489;74331;45368;30122;37974;251278
03-06-2013;74960;80478;49885;35216;39441;279983
04-06-2013;76719;81887;50442;37368;39930;286342
05-06-2013;77412;83340;51193;35815;39794;287545
06-06-2013;77235;82809;52081;35454;39352;286927
07-06-2013;74861;79447;52941;34612;38888;280742
08-06-2013;65858;74434;51065;33405;36460;261219
09-06-2013;63854;72728;49255;35111;35378;256322
10-06-2013;75245;78349;52017;40813;38346;284764
11-06-2013;74291;78093;50519;41620;37808;282330
12-06-2013;75905;79572;48939;41327;37542;283275
13-06-2013;77880;78008;50009;40655;37020;283573
14-06-2013;73807;77774;47989;39332;37118;276015
15-06-2013;65920;74454;48015;37943;36013;262338
16-06-2013;65347;72910;47302;37793;35412;258761
17-06-2013;74083;77832;51570;40793;36560;280829
18-06-2013;73343;78521;51646;39558;37030;280094
19-06-2013;72127;78107;50447;39010;37342;277029
20-06-2013;72630;76724;50450;37229;35863;272894
21-06-2013;71339;77811;50786;36637;36298;272870
22-06-2013;63971;70727;48381;33972;33190;250231
23-06-2013;63323;69754;46140;34214;32965;246387
24-06-2013;74495;76032;48831;38653;36196;274200
25-06-2013;74399;75032;48694;38117;36761;272992
26-06-2013;75184;79206;49198;38360;37820;279756
27-06-2013;74863;78554;48699;37990;37845;277956
28-06-2013;72317;77910;47923;36991;37151;272284
29-06-2013;66564;71908;47052;34642;36553;256720
30-06-2013;63498;70401;45628;34667;36706;250896
01-07-2013;72015;77165;49691;38069;38669;275607
02-07-2013;70386;78528;51691;37748;37570;275917
03-07-2013;70875;80191;51015;37217;36779;276077
04-07-2013;71747;79535;50935;38604;37162;277978
05-07-2013;68948;76508;49187;37400;36150;268194
06-07-2013;59100;72169;47236;35850;34513;248866
07-07-2013;57129;70998;45939;35259;34065;243386
08-07-2013;65344;76593;50628;38542;37271;268373
09-07-2013;66071;76070;49616;38489;37783;268022
10-07-2013;64649;74914;48611;38044;36161;262376
11-07-2013;64440;77458;50288;38645;37162;267991
12-07-2013;62340;75628;49518;38070;37410;262957
13-07-2013;55714;70121;46371;36490;36041;244732
14-07-2013;52706;68850;46514;36438;35182;239686
15-07-2013;61445;73412;49607;37970;36774;259203
16-07-2013;63254;73944;50541;38611;38155;264496
17-07-2013;61056;73663;48987;38611;37832;260147
18-07-2013;60760;72901;49434;38402;37460;258950
19-07-2013;60242;72581;49875;38344;36920;257963
20-07-2013;54401;70467;45598;38061;36433;244954
21-07-2013;52536;68822;46592;37802;34860;240611
22-07-2013;59442;73013;47137;39354;36298;255241
23-07-2013;59596;72256;48154;38868;36249;255119
24-07-2013;59331;72169;46141;37398;36019;251049
25-07-2013;60335;72029;46116;36779;36111;251367
26-07-2013;59628;72294;45422;37408;36084;250831
27-07-2013;53858;68678;44087;35859;34255;236740
28-07-2013;51734;67572;43477;34398;34514;231687
29-07-2013;60507;73594;47253;37071;36447;254869
30-07-2013;62265;74287;46388;37691;36323;256946
31-07-2013;62325;73113;43813;36449;35812;251505
01-08-2013;62937;72559;46576;38149;37734;257954
02-08-2013;61636;71795;47067;37673;36801;254975
03-08-2013;57433;68047;44949;35944;35334;241699
04-08-2013;54727;67306;43789;35383;33645;234849
05-08-2013;64208;73674;47723;39055;35742;260398
06-08-2013;66801;73843;48168;39030;35939;263774
07-08-2013;66310;72960;47509;39282;36304;262360
08-08-2013;68702;77026;47163;40597;37475;270956
09-08-2013;67306;77214;48032;39783;35598;267929
10-08-2013;61038;73212;44386;38341;31750;248723
11-08-2013;58896;71384;44412;37646;31302;243631
12-08-2013;69271;78091;47218;40878;33482;268937
13-08-2013;71153;77796;50177;41392;34215;274726
14-08-2013;69570;77890;51915;40925;33457;273753
15-08-2013;70245;78575;52904;41260;32168;275143
16-08-2013;70969;77011;52732;39825;30149;270683
17-08-2013;61382;69559;46937;37131;29432;244431
18-08-2013;62201;69495;45977;37148;30314;245133
19-08-2013;69784;74622;50411;40040;32077;266930
20-08-2013;73008;79497;48597;40927;33005;275027
21-08-2013;72824;78342;50567;42518;33596;277844
22-08-2013;73717;78395;51361;42290;33821;279577
23-08-2013;71928;78346;51204;41413;33246;276132
24-08-2013;63878;73241;48374;39464;32074;257025
25-08-2013;60631;72374;46318;38457;33679;251448
26-08-2013;71152;79047;50111;41767;39085;281155
27-08-2013;71194;78715;52167;41797;37614;281478
28-08-2013;70699;78811;53959;42116;36659;282236
29-08-2013;70654;81061;52721;43061;38661;286155
30-08-2013;69788;78654;52525;42904;38484;282355
31-08-2013;64239;72744;48400;40083;36488;261944
01-09-2013;64344;73306;48567;39651;36599;262462
02-09-2013;71749;78241;52140;41433;38661;282215
03-09-2013;72185;80704;51718;42453;38459;285513
04-09-2013;71302;79752;51487;42642;38137;283313
05-09-2013;73219;78668;51315;42530;38267;283996
06-09-2013;71672;76990;51324;40680;38558;279223
07-09-2013;63239;70956;48299;40131;37084;259706
08-09-2013;61748;69049;47503;40070;35242;253609
09-09-2013;71642;79226;52900;43023;39023;285810
10-09-2013;72676;80849;53248;42742;39346;288858
11-09-2013;71751;80469;54473;44530;38880;290103
12-09-2013;73682;78950;54229;44197;39518;290574
13-09-2013;72868;78837;53922;43727;39104;288455
14-09-2013;66166;74888;51549;41760;38516;272874
15-09-2013;65820;71987;49872;41474;38317;267466
16-09-2013;78617;80146;54487;42758;39639;295645
17-09-2013;82174;84062;55526;43767;40813;306333
18-09-2013;82229;84180;55250;42872;41361;305887
19-09-2013;83402;84497;56708;42333;41028;307967
20-09-2013;85156;83793;55572;41984;41437;307938
21-09-2013;75770;79015;51938;40193;39892;286798
22-09-2013;72810;75149;53043;40972;37891;279859
23-09-2013;82343;80517;58129;45172;40894;307054
24-09-2013;86947;84417;56760;46260;41886;316266
25-09-2013;95156;86717;58284;47096;41098;328349
26-09-2013;97528;88443;60161;47157;42122;335411
27-09-2013;96387;88321;59017;47174;42653;333546
28-09-2013;86214;83179;57338;44133;39919;310777
29-09-2013;83525;80868;57360;44530;39384;305657
30-09-2013;95644;88233;58351;47928;40802;330951
01-10-2013;95582;88884;57749;47273;42507;331986
02-10-2013;97651;89516;59453;47007;42623;336244
03-10-2013;95785;88490;59532;46522;42360;332685
04-10-2013;95876;88089;58296;46271;41914;330449
05-10-2013;82370;79009;53943;43261;38384;296960
06-10-2013;81465;79472;53365;43606;38734;296634
07-10-2013;87806;83572;57602;46834;39140;314951
08-10-2013;84585;83726;56789;47157;40969;313217
09-10-2013;81621;84704;58088;48464;41624;314499
10-10-2013;92576;89524;58762;48142;43109;332105
11-10-2013;96771;89957;59553;47720;43016;337012
12-10-2013;86924;83126;56361;45745;41130;313281
13-10-2013;83110;80682;56311;45750;39667;305513
14-10-2013;94625;88733;62608;48540;40966;335470
15-10-2013;98903;90855;62596;50781;41295;344428
16-10-2013;100027;93889;64219;51613;42138;351880
17-10-2013;99750;91243;64162;53614;41868;350946
18-10-2013;104658;95161;65327;54449;43561;363148
19-10-2013;102811;92653;63370;52832;42699;354879
20-10-2013;103572;90895;63347;52883;42545;353240
21-10-2013;117944;97976;66508;56484;44969;383884
22-10-2013;114247;95201;63855;55582;42880;371761
23-10-2013;98771;84861;57954;55086;41267;337930
24-10-2013;93703;88300;57964;52575;42648;335193
25-10-2013;98988;94295;61615;53214;44626;352736
26-10-2013;88312;86854;57457;50527;41928;325070
27-10-2013;88034;87964;58663;45905;42663;323225
28-10-2013;93372;92778;60598;52009;43658;342410
29-10-2013;98129;94370;59023;50539;44560;346615
30-10-2013;102616;95836;60631;51733;46603;357411
31-10-2013;105299;94944;63063;52210;46007;361522
01-11-2013;102193;92166;63827;52907;43834;354924
02-11-2013;96247;90457;61080;52114;43597;343485
03-11-2013;96235;88260;60004;50790;44388;339667
04-11-2013;103704;97245;63112;54077;48931;367069
05-11-2013;106629;100147;63260;56213;48033;374277
06-11-2013;115379;103850;63625;57579;46715;387142
07-11-2013;118329;102597;66160;58286;49135;394506
08-11-2013;113240;98833;66141;57762;47611;383581
09-11-2013;104746;96116;61908;54776;45763;363301
10-11-2013;102819;95871;61332;54340;47683;362041
11-11-2013;125920;108159;67789;59117;51739;412718
12-11-2013;110518;99621;66215;58343;46855;381542
13-11-2013;116614;103216;65420;56831;48518;390593
14-11-2013;117440;101792;65392;58042;48648;391311
15-11-2013;115125;102148;64849;57329;48136;387578
16-11-2013;94484;90481;59751;54134;44569;343418
17-11-2013;98184;92996;59981;54619;45083;350864
18-11-2013;117282;103636;66204;57293;48663;393071
19-11-2013;118511;106010;67613;58274;51673;402076
20-11-2013;133899;113094;70765;59449;52084;429279
21-11-2013;140275;116649;73124;60689;52576;443313
22-11-2013;146053;117644;70667;59472;51637;445464
23-11-2013;134094;108398;65702;56347;48803;413345
24-11-2013;128692;105036;66902;56196;50376;407196
25-11-2013;142188;114413;71464;60621;50781;439465
26-11-2013;144863;114266;69380;59218;49225;436946
27-11-2013;125476;101664;65734;58413;45839;397126
28-11-2013;121905;104677;65581;58717;50117;400993
29-11-2013;127416;109013;64996;58800;52121;412346
30-11-2013;122026;105032;64755;58359;50505;400675
01-12-2013;112729;98858;63344;58738;49323;382987
02-12-2013;127848;109784;65210;61438;57371;421646
03-12-2013;120395;103586;62722;60398;54457;401555
04-12-2013;125435;106753;68925;61578;56989;419681
05-12-2013;125563;111392;72154;62156;59055;430311
06-12-2013;133032;115464;73200;63207;61156;446051
07-12-2013;130573;113781;72076;62434;60749;439606
08-12-2013;134005;109475;71781;61695;58242;435192
09-12-2013;140690;113943;74994;66769;58520;454911
10-12-2013;130867;108178;68554;63138;53964;424701
11-12-2013;131847;108719;65318;58674;54207;418759
12-12-2013;126638;107865;66093;58511;54649;413746
13-12-2013;132501;110958;66163;60175;57755;427541
14-12-2013;124359;104130;64654;59075;54186;406396
15-12-2013;113317;99720;62285;57918;51908;385140
16-12-2013;116430;102943;66199;58553;53587;397706
17-12-2013;122947;106528;68526;58301;55959;412260
18-12-2013;128804;112016;67890;58494;57359;424558
19-12-2013;120059;108643;66595;60459;55742;411500
20-12-2013;120824;108743;67430;59444;56467;412903
21-12-2013;109362;98620;63954;55028;51738;378697
22-12-2013;104663;97975;63086;55791;51986;373495
23-12-2013;117043;101955;66798;57673;56279;399748
24-12-2013;107143;99168;58475;55756;53505;374047
25-12-2013;100320;96826;56182;53358;52320;359002
26-12-2013;103772;98347;57663;53240;52289;365303
27-12-2013;112050;101422;62722;53289;54231;383710
28-12-2013;100686;97809;59604;54196;51916;364209
29-12-2013;101369;98029;59117;53392;52002;363906
30-12-2013;118880;104751;64006;56427;54820;398878
31-12-2013;107543;99449;59392;56106;52355;374843

